model,prompt,score,cost
gpt-4o,square,0,0.128
chatgpt-4o-latest,square,0,0.338
gpt-4o-mini,square,0,0.006
gpt-4.1,square,0,0.426
gpt-4.1-mini,square,0,0.071
gpt-4.1-nano,square,0,0.017
gpt-3.5-turbo,square,0,0.01
gpt-4,square,0,0.15
gpt-4-1106-preview,square,0,0.232
gpt-4-0125-preview,square,0,0.287
gpt-4-turbo,square,0,0.434
o1,square,0,9.082
o3-mini,square,0,0.417
o3,square,0,0.736
o4-mini,square,0,0.316
gpt-5,square,0,0.954
gpt-5-mini,square,0,0.134
gpt-5-nano,square,0,0.048
deepseek-ai/DeepSeek-3.2,square,0,0.02
deepseek-ai/DeepSeek-R1-0528-Turbo,square,0,0.63
deepseek-ai/DeepSeek-V3.1-Terminus,square,0,0.03
deepseek-ai/DeepSeek-R1-0528,square,0,0.52
Qwen/Qwen3-Next-80B-A3B-Instruct,square,0,0.09
Qwen/Qwen3-235B-A22B-Thinking-2507,square,0,0.64
Qwen/Qwen3-32B,square,0,0.05
google/gemma-3-27b-it,square,0,0
google/gemma-3-12b-it,square,0,0
google/gemma-3-4b-it,square,0,0
moonshotai/Kimi-K2-Thinking,square,0,0.61
moonshotai/Kimi-K2-Instruct-0905,square,0,0.07
nvidia/Nemotron-3-Nano-30B-A3B,square,0,0.5
openai/gpt-oss-120b,square,0,0.01
openai/gpt-oss-20b,square,0,0.02
openai/gpt-oss-120b-Turbo,square,0,0.05
meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,square,0,0.01
meta-llama/Llama-4-Scout-17B-16E-Instruct,square,0,0
meta-llama/Llama-3.3-70B-Instruct-Turbo,square,0,0
meta-llama/Llama-3.2-3B-Instruct,square,0,0
NousResearch/Hermes-3-Llama-3.1-405B,square,0,0.01
NousResearch/Hermes-3-Llama-3.1-70B,square,0,0
allenai/Olmo-3.1-32B-Instruct,square,0,0.07
microsoft/phi-4,square,0,0
microsoft/WizardLM-2-8x22B,square,0,0.02
zai-org/GLM-4.6,square,0,0.37
zai-org/GLM-4.6V,square,0,0.15
zai-org/GLM-4.7,square,0,0.48
anthropic/claude-3-haiku-20240307,square,0,0.01
anthropic/claude-3-7-sonnet-latest,square,0,0.09
anthropic/claude-opus-4-0,square,0,1.3
anthropic/claude-sonnet-4-0,square,0,0.2
anthropic/claude-opus-4-1-20250805,square,0,1.02
anthropic/claude-sonnet-4-5,square,0,0.2
anthropic/claude-haiku-4-5-20251001,square,0,0.07
sonar-deep-research,square,0,11.95
sonar-reasoning-pro,square,0,0.21
sonar-pro,square,0,0.14
sonar,square,0,0.06
mistral/ministral-3b-latest,square,0,0.01449
